beach_id,year,month,tourists,period
MWE_SAR_4,2021,12,62,COVID
MWE_SAR_5,2021,1,187,COVID
MWE_SAR_5,2021,2,187,COVID
MWE_SAR_5,2021,3,100,COVID
MWE_SAR_5,2021,4,100,COVID
MWE_SAR_5,2021,5,1250,COVID
MWE_SAR_5,2021,6,6250,COVID
MWE_SAR_5,2021,7,17500,COVID
MWE_SAR_5,2021,8,22500,COVID
MWE_SAR_5,2021,9,8750,COVID
MWE_SAR_5,2021,10,1250,COVID
MWE_SAR_5,2021,11,187,COVID
MWE_SAR_5,2021,12,187,COVID
MWE_SAR_6,2021,1,125,COVID
MWE_SAR_6,2021,2,125,COVID
MWE_SAR_6,2021,3,62,COVID
MWE_SAR_6,2021,4,62,COVID
MWE_SAR_6,2021,5,875,COVID
MWE_SAR_6,2021,6,3750,COVID
MWE_SAR_6,2021,7,8750,COVID
MWE_SAR_6,2021,8,11250,COVID
MWE_SAR_6,2021,9,5000,COVID
MWE_SAR_6,2021,10,1000,COVID
MWE_SAR_6,2021,11,125,COVID
MWE_SAR_6,2021,12,125,COVID
MWE_SAR_1,2022,1,300,post-COVID
MWE_SAR_1,2022,2,300,post-COVID
MWE_SAR_1,2022,3,200,post-COVID
MWE_SAR_1,2022,4,300,post-COVID
MWE_SAR_1,2022,5,2000,post-COVID
MWE_SAR_1,2022,6,6000,post-COVID
MWE_SAR_1,2022,7,12000,post-COVID
MWE_SAR_1,2022,8,15000,post-COVID
MWE_SAR_1,2022,9,7000,post-COVID
MWE_SAR_1,2022,10,2000,post-COVID
MWE_SAR_1,2022,11,300,post-COVID
MWE_SAR_1,2022,12,300,post-COVID
MWE_SAR_2,2022,1,500,post-COVID
MWE_SAR_2,2022,2,500,post-COVID
MWE_SAR_2,2022,3,300,post-COVID
MWE_SAR_2,2022,4,300,post-COVID
MWE_SAR_2,2022,5,3000,post-COVID
MWE_SAR_2,2022,6,10000,post-COVID
MWE_SAR_2,2022,7,25000,post-COVID
MWE_SAR_2,2022,8,30000,post-COVID
MWE_SAR_2,2022,9,12000,post-COVID
MWE_SAR_2,2022,10,3000,post-COVID
MWE_SAR_2,2022,11,500,post-COVID
MWE_SAR_2,2022,12,500,post-COVID
MWE_SAR_3,2022,1,200,post-COVID
MWE_SAR_3,2022,2,200,post-COVID
MWE_SAR_3,2022,3,100,post-COVID
MWE_SAR_3,2022,4,100,post-COVID
MWE_SAR_3,2022,5,1500,post-COVID
MWE_SAR_3,2022,6,6000,post-COVID
MWE_SAR_3,2022,7,14000,post-COVID
MWE_SAR_3,2022,8,18000,post-COVID
MWE_SAR_3,2022,9,8000,post-COVID
MWE_SAR_3,2022,10,1500,post-COVID
MWE_SAR_3,2022,11,200,post-COVID
MWE_SAR_3,2022,12,200,post-COVID
MWE_SAR_4,2022,1,100,post-COVID
MWE_SAR_4,2022,2,100,post-COVID
MWE_SAR_4,2022,3,80,post-COVID
MWE_SAR_4,2022,4,80,post-COVID
MWE_SAR_4,2022,5,600,post-COVID
MWE_SAR_4,2022,6,2500,post-COVID
MWE_SAR_4,2022,7,4000,post-COVID
MWE_SAR_4,2022,8,5000,post-COVID
MWE_SAR_4,2022,9,2500,post-COVID
MWE_SAR_4,2022,10,700,post-COVID
MWE_SAR_4,2022,11,100,post-COVID
MWE_SAR_4,2022,12,100,post-COVID
MWE_SAR_5,2022,1,250,post-COVID
MWE_SAR_5,2022,2,250,post-COVID
MWE_SAR_5,2022,3,150,post-COVID
MWE_SAR_5,2022,4,150,post-COVID
MWE_SAR_5,2022,5,2000,post-COVID
MWE_SAR_5,2022,6,7000,post-COVID
MWE_SAR_5,2022,7,20000,post-COVID
MWE_SAR_5,2022,8,25000,post-COVID
MWE_SAR_5,2022,9,10000,post-COVID
MWE_SAR_5,2022,10,2000,post-COVID
MWE_SAR_5,2022,11,250,post-COVID
MWE_SAR_5,2022,12,250,post-COVID
MWE_SAR_6,2022,1,150,post-COVID
MWE_SAR_6,2022,2,150,post-COVID
MWE_SAR_6,2022,3,100,post-COVID
MWE_SAR_6,2022,4,100,post-COVID
MWE_SAR_6,2022,5,1200,post-COVID
MWE_SAR_6,2022,6,5000,post-COVID
MWE_SAR_6,2022,7,10000,post-COVID
MWE_SAR_6,2022,8,12000,post-COVID
MWE_SAR_6,2022,9,6000,post-COVID
MWE_SAR_6,2022,10,1000,post-COVID
MWE_SAR_6,2022,11,150,post-COVID
MWE_SAR_6,2022,12,150,post-COVID
MWE_SAR_1,2023,1,400,post-COVID
MWE_SAR_1,2023,2,400,post-COVID
MWE_SAR_1,2023,3,300,post-COVID
MWE_SAR_1,2023,4,500,post-COVID
MWE_SAR_1,2023,5,3000,post-COVID
MWE_SAR_1,2023,6,7000,post-COVID
MWE_SAR_1,2023,7,13000,post-COVID
MWE_SAR_1,2023,8,14000,post-COVID
MWE_SAR_1,2023,9,9000,post-COVID
MWE_SAR_1,2023,10,3000,post-COVID
MWE_SAR_1,2023,11,400,post-COVID
MWE_SAR_1,2023,12,400,post-COVID
MWE_SAR_2,2023,1,600,post-COVID
MWE_SAR_2,2023,2,600,post-COVID
MWE_SAR_2,2023,3,400,post-COVID
MWE_SAR_2,2023,4,600,post-COVID
MWE_SAR_2,2023,5,4000,post-COVID
MWE_SAR_2,2023,6,12000,post-COVID
MWE_SAR_2,2023,7,28000,post-COVID
MWE_SAR_2,2023,8,30000,post-COVID
MWE_SAR_2,2023,9,15000,post-COVID
MWE_SAR_2,2023,10,4000,post-COVID
MWE_SAR_2,2023,11,600,post-COVID
MWE_SAR_2,2023,12,600,post-COVID
MWE_SAR_3,2023,1,300,post-COVID
MWE_SAR_3,2023,2,300,post-COVID
MWE_SAR_3,2023,3,200,post-COVID
MWE_SAR_3,2023,4,300,post-COVID
MWE_SAR_3,2023,5,2000,post-COVID
MWE_SAR_3,2023,6,7000,post-COVID
MWE_SAR_3,2023,7,16000,post-COVID
MWE_SAR_3,2023,8,17000,post-COVID
MWE_SAR_3,2023,9,10000,post-COVID
MWE_SAR_3,2023,10,2000,post-COVID
MWE_SAR_3,2023,11,300,post-COVID
MWE_SAR_3,2023,12,300,post-COVID
MWE_SAR_4,2023,1,150,post-COVID
MWE_SAR_4,2023,2,150,post-COVID
MWE_SAR_4,2023,3,100,post-COVID
MWE_SAR_4,2023,4,150,post-COVID
MWE_SAR_4,2023,5,800,post-COVID
MWE_SAR_4,2023,6,3000,post-COVID
MWE_SAR_4,2023,7,5000,post-COVID
MWE_SAR_4,2023,8,5000,post-COVID
MWE_SAR_4,2023,9,3000,post-COVID
MWE_SAR_4,2023,10,1000,post-COVID
MWE_SAR_4,2023,11,150,post-COVID
MWE_SAR_4,2023,12,150,post-COVID
MWE_SAR_5,2023,1,300,post-COVID
MWE_SAR_5,2023,2,300,post-COVID
MWE_SAR_5,2023,3,200,post-COVID
MWE_SAR_5,2023,4,300,post-COVID
MWE_SAR_5,2023,5,3000,post-COVID
MWE_SAR_5,2023,6,9000,post-COVID
MWE_SAR_5,2023,7,22000,post-COVID
MWE_SAR_5,2023,8,24000,post-COVID
MWE_SAR_5,2023,9,12000,post-COVID
MWE_SAR_5,2023,10,3000,post-COVID
MWE_SAR_5,2023,11,300,post-COVID
MWE_SAR_5,2023,12,300,post-COVID
MWE_SAR_6,2023,1,200,post-COVID
MWE_SAR_6,2023,2,200,post-COVID
MWE_SAR_6,2023,3,150,post-COVID
MWE_SAR_6,2023,4,200,post-COVID
MWE_SAR_6,2023,5,1500,post-COVID
MWE_SAR_6,2023,6,6000,post-COVID
MWE_SAR_6,2023,7,11000,post-COVID
MWE_SAR_6,2023,8,12000,post-COVID
MWE_SAR_6,2023,9,7000,post-COVID
MWE_SAR_6,2023,10,1500,post-COVID
MWE_SAR_6,2023,11,200,post-COVID
MWE_SAR_6,2023,12,200,post-COVID
